sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3661;0.6706;9.4337;-0.2844;0.6804;9.7788;-0.1739;-0.2041;-0.0608;-0.19;-4.68;1.14;237.5;21.75;-1.5;-25.12;272.15;-4.01;1.72;5.0;40.116;;;;NaN;;;;0 / 0;21;2022-11-17 14:19:04:931
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1739;-0.2041;-0.0608;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.116;;;;NaN;;;;0 / 0;31;2022-11-17 14:19:04:941
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1739;-0.2041;-0.0608;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.116;;;;NaN;;;;0 / 0;42;2022-11-17 14:19:04:952
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.116;;;;NaN;;;;0 / 0;51;2022-11-17 14:19:04:961
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.495;;;;NaN;;;;0 / 0;67;2022-11-17 14:19:04:977
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.495;;;;NaN;;;;0 / 0;72;2022-11-17 14:19:04:982
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.495;;;;NaN;;;;0 / 0;82;2022-11-17 14:19:04:992
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.495;;;;NaN;;;;0 / 0;91;2022-11-17 14:19:05:001
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.495;;;;NaN;;;;0 / 0;102;2022-11-17 14:19:05:012
-0.3661;0.6706;9.4337;-0.293;0.6563;9.7802;-0.1579;-0.0827;-0.0235;-0.19;-4.68;1.14;237.5;21.75;-1.0;-25.81;272.29;-3.98;1.67;5.0;40.495;;;;NaN;;;;0 / 0;111;2022-11-17 14:19:05:021
