"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.507258654E-2,-8.235096186E-2,9.723954201E0,9.724592684E0
1.294836000E-3,7.284119725E-2,-7.541734725E-2,9.720592499E0,9.721157963E0
3.294836000E-3,7.236234844E-2,-7.507258654E-2,9.728675842E0,9.729234597E0
5.294836000E-3,7.698795199E-2,-7.761044055E-2,9.746469498E0,9.747082548E0
7.294836000E-3,8.290641755E-2,-8.527188748E-2,9.758727074E0,9.759451771E0
9.294836000E-3,7.764875144E-2,-8.224561065E-2,9.775459290E0,9.776113645E0
1.129483600E-2,8.078036457E-2,-7.941088080E-2,9.785973549E0,9.786629136E0
1.329483600E-2,8.013872057E-2,-7.226658612E-2,9.774242401E0,9.774838065E0
1.529483600E-2,7.910442352E-2,-7.164409012E-2,9.761035919E0,9.761619364E0
1.729483600E-2,7.203674316E-2,-7.240065932E-2,9.758296967E0,9.758831428E0
1.929483600E-2,7.340622693E-2,-7.131848484E-2,9.746728897E0,9.747266232E0
2.129483600E-2,8.337567747E-2,-6.483498216E-2,9.742245674E0,9.742818168E0
2.329483600E-2,8.592311293E-2,-7.232404500E-2,9.749668121E0,9.750314971E0
2.529483600E-2,8.817365766E-2,-7.820419967E-2,9.763237953E0,9.763949294E0
2.729483600E-2,8.887276798E-2,-8.231265098E-2,9.771359444E0,9.772110269E0
2.929483600E-2,9.012732655E-2,-8.198704571E-2,9.770755768E0,9.771515393E0
3.129483600E-2,8.486966044E-2,-8.534850180E-2,9.770631790E0,9.771373128E0
3.329483600E-2,7.642292231E-2,-8.070375025E-2,9.761132240E0,9.761765013E0
3.529483600E-2,7.399041206E-2,-6.633853912E-2,9.746661186E0,9.747167776E0
3.729483600E-2,7.419151813E-2,-6.169379130E-2,9.734096527E0,9.734574757E0
3.929483600E-2,7.461290061E-2,-6.687483937E-2,9.728896141E0,9.729412082E0
4.129483600E-2,8.393114060E-2,-6.446148455E-2,9.731961250E0,9.732536642E0
4.329483600E-2,9.403466433E-2,-5.816952512E-2,9.745664597E0,9.746291841E0
4.529483600E-2,9.565314651E-2,-5.903143808E-2,9.766629219E0,9.767276004E0
4.729483600E-2,9.494446218E-2,-5.712565407E-2,9.780313492E0,9.780941151E0
4.929483600E-2,9.083601087E-2,-5.976885185E-2,9.781435013E0,9.782039379E0
5.129483600E-2,9.148723632E-2,-6.409756839E-2,9.772958755E0,9.773597150E0
5.329483600E-2,9.154469520E-2,-7.163451612E-2,9.758804321E0,9.759496591E0
5.529639900E-2,9.327810258E-2,-7.236234844E-2,9.745128632E0,9.745843686E0
5.729483600E-2,7.894162089E-2,-8.151777834E-2,9.738951683E0,9.739612765E0
5.929483600E-2,7.293695956E-2,-8.795338869E-2,9.733732224E0,9.734402837E0
6.129483600E-2,7.341580093E-2,-8.100063354E-2,9.731606483E0,9.732220493E0
6.329483600E-2,7.080133259E-2,-7.680599391E-2,9.733799934E0,9.734360439E0
6.529483600E-2,7.099286467E-2,-8.237011731E-2,9.737553596E0,9.738160754E0
6.729483600E-2,7.313807309E-2,-8.078036457E-2,9.746287346E0,9.746896515E0
6.929483600E-2,6.737283617E-2,-8.135497570E-2,9.748758316E0,9.749330563E0
7.133233600E-2,7.065768540E-2,-7.679641992E-2,9.748997688E0,9.749556201E0
7.329483600E-2,7.471824437E-2,-6.791871786E-2,9.740263939E0,9.740787307E0
7.529483600E-2,7.134721428E-2,-6.426995248E-2,9.733243942E0,9.733717619E0
7.729483600E-2,6.196194142E-2,-7.221869379E-2,9.741767883E0,9.742232614E0
7.947139900E-2,5.749914795E-2,-7.795520872E-2,9.746957779E0,9.747439105E0
8.129483600E-2,6.899131835E-2,-8.033025265E-2,9.752666473E0,9.753241312E0
8.329483600E-2,6.692273170E-2,-7.500555366E-2,9.761590958E0,9.762108507E0
8.529483600E-2,6.856035441E-2,-7.634630799E-2,9.764847755E0,9.765386883E0
8.729483600E-2,6.470090151E-2,-8.465897292E-2,9.765306473E0,9.765887766E0
8.947139900E-2,5.504748598E-2,-8.979213983E-2,9.754120827E0,9.754689434E0
9.129483600E-2,5.322789401E-2,-8.982086927E-2,9.746095657E0,9.746654891E0
9.329483600E-2,6.160759553E-2,-8.603803068E-2,9.741480827E0,9.742055571E0
9.529483600E-2,6.835924834E-2,-7.340622693E-2,9.736777306E0,9.737293965E0
9.729483600E-2,6.565858424E-2,-6.526593864E-2,9.734374046E0,9.734814265E0
9.929483600E-2,6.391561031E-2,-6.249824166E-2,9.744420052E0,9.744830085E0
