"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.623268612E-2,8.940906823E-2,9.758469582E0,9.758892665E0
1.299022000E-3,-1.671152934E-2,8.606676757E-2,9.760164261E0,9.760558035E0
3.299022000E-3,-7.287950255E-3,8.770439774E-2,9.763009071E0,9.763405723E0
5.299022000E-3,-5.573701579E-3,9.358455986E-2,9.759197235E0,9.759647525E0
7.299022000E-3,-5.707777105E-3,9.290460497E-2,9.756160736E0,9.756604745E0
9.299022000E-3,-1.159751322E-2,9.443689138E-2,9.742475510E0,9.742940105E0
1.129902200E-2,-1.162624359E-2,9.026140720E-2,9.732506752E0,9.732932239E0
1.329902200E-2,-7.412448525E-3,8.791508526E-2,9.722517967E0,9.722918267E0
1.529902200E-2,-1.620395668E-2,8.226477355E-2,9.709157944E0,9.709519969E0
1.729902200E-2,-2.400905453E-2,7.875965536E-2,9.711495399E0,9.711844439E0
1.929902200E-2,-2.288856916E-2,8.122090250E-2,9.716972351E0,9.717338751E0
2.129902200E-2,-2.174892835E-2,8.037813753E-2,9.719032288E0,9.719388986E0
2.330058400E-2,-1.693179458E-2,7.615476847E-2,9.723733902E0,9.724046855E0
2.529902200E-2,-1.396298409E-2,7.274542004E-2,9.725630760E0,9.725912839E0
2.729902200E-2,-1.412578952E-2,7.038952410E-2,9.728368759E0,9.728633662E0
2.929902200E-2,-1.387679297E-2,7.396167517E-2,9.734172821E0,9.734463694E0
3.129902200E-2,-9.165003896E-3,8.923668414E-2,9.735694885E0,9.736108159E0
3.329902200E-2,-1.222958229E-2,9.356539696E-2,9.738396645E0,9.738853796E0
3.529902200E-2,-1.097502001E-2,8.669883013E-2,9.742887497E0,9.743279423E0
3.729902200E-2,4.213795182E-4,9.385270625E-2,9.752627373E0,9.753078959E0
3.929902200E-2,3.543418366E-3,9.809523076E-2,9.757826805E0,9.758320511E0
4.129902200E-2,1.031422149E-2,9.426451474E-2,9.764052391E0,9.764512854E0
4.329902200E-2,1.197100803E-2,8.849927783E-2,9.756525040E0,9.756933754E0
4.529902200E-2,6.694188341E-3,9.223423153E-2,9.751995087E0,9.752433549E0
4.729902200E-2,8.140285499E-3,8.952398598E-2,9.747244835E0,9.747659344E0
4.929902200E-2,5.401318893E-3,8.289684355E-2,9.746804237E0,9.747158248E0
5.129902200E-2,6.320692599E-3,9.013690054E-2,9.744650841E0,9.745069760E0
5.329902200E-2,5.516240373E-3,8.979213983E-2,9.747791290E0,9.748206404E0
5.529902200E-2,1.173158828E-2,8.707232773E-2,9.739995003E0,9.740391259E0
5.729902200E-2,7.431602105E-3,8.804916590E-2,9.740550995E0,9.740951779E0
5.929902200E-2,6.818686612E-3,9.019436687E-2,9.742668152E0,9.743088024E0
6.130058400E-2,2.403778490E-3,8.320330083E-2,9.742523193E0,9.742878771E0
6.329902200E-2,-2.106897533E-3,8.546342701E-2,9.751237869E0,9.751612606E0
6.529902200E-2,1.331176143E-3,9.079770744E-2,9.757425308E0,9.757847849E0
6.729902200E-2,-2.557007363E-3,9.985736012E-2,9.760106087E0,9.760617237E0
6.929902200E-2,-4.692635499E-3,1.003745124E-1,9.763889313E0,9.764406361E0
7.129902200E-2,-1.107078884E-2,1.011406556E-1,9.760996819E0,9.761527078E0
7.347558400E-2,-1.749682613E-2,9.862195700E-2,9.757492065E0,9.758006140E0
7.529902200E-2,-1.651041396E-2,9.328767657E-2,9.759054184E0,9.759514012E0
7.729902200E-2,-1.821508631E-2,8.899726719E-2,9.757636070E0,9.758058925E0
7.929902200E-2,-1.246900298E-2,8.648814261E-2,9.750243187E0,9.750634742E0
8.129902200E-2,-1.162624359E-2,7.994718105E-2,9.743156433E0,9.743491366E0
8.347558400E-2,-1.968033798E-2,7.805097103E-2,9.745415688E0,9.745748108E0
8.529902200E-2,-1.840662211E-2,8.006210625E-2,9.743903160E0,9.744249460E0
8.729902200E-2,-2.480393089E-2,8.060798794E-2,9.744142532E0,9.744507508E0
